Ref,Mid X,Mid Y,Rot,Layer
C1,14,14.5,180,top
C2,14,15.5,180,top
C3,15.25,23,180,top
C4,15.25,19,0,top
C5,19,23.5,90,top
C6,17,23.5,90,top
C7,19.75,23.5,90,top
C8,17.75,23.5,90,top
C9,20.5,13.75,180,top
C10,22.5,23.5,90,top
C11,20.75,23.5,90,top
C12,20.5,14.5,180,top
C13,23.25,23.5,90,top
C14,21.5,23.5,90,top
C15,26.375,16.625,0,top
C16,27.5,18.75,90,top
C17,27.5,21.25,90,top
C18,26.375,23.375,180,top
C19,24,16.75,180,top
C20,24,17.5,180,top
C23,19,14.5,0,top
C26,29.375,17.25,-90,top
C27,30.125,17.25,90,top
C28,30.125,22.75,90,top
C29,29.375,22.75,-90,top
FB1,14,16.75,0,top
J1,8,20,-90,top
L1,25.75,18.5,-45,top
L2,25.75,21.5,45,top
R1,14.5,18.25,180,top
U1,20,18.75,90,top
Y1,15,21,90,top
