Reference,Qty,Value,Footprint,DNP
"C1,C2",2,CL05A105KA5NQNC,Capacitor_SMD:C_0402_1005Metric,
"C3,C4",2,0201CG120J500NT,Capacitor_SMD:C_0201_0603Metric,
"C5,C6,C12,C13,C14,C20",6,GRM033R71E103KE14D,Capacitor_SMD:C_0201_0603Metric,
"C7,C8,C9,C10,C11,C19",6,CL03A225MP3CRNC,Capacitor_SMD:C_0201_0603Metric,
"C15,C18,C27,C28",4,GRM0335C1H151JA01D,Capacitor_SMD:C_0201_0603Metric,
"C16,C17",2,GRM0335C1H331JE01D,Capacitor_SMD:C_0201_0603Metric,
"C21,C22,C30,C31",4,,Capacitor_SMD:C_0402_1005Metric,DNP
C23,1,GRM033R6YA104KE14D,Capacitor_SMD:C_0201_0603Metric,
"C24,C25,C32,C33",4,,Capacitor_SMD:C_0402_1005Metric,DNP
"C26,C29",2,GRM0335C1H100JA01D,Capacitor_SMD:C_0201_0603Metric,
FB1,1,CBM160808U800T,Inductor_SMD:L_0603_1608Metric,
J1,1,532610971,Connector_Molex:Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal,
"L1,L2",2,LQW18CNR12J0ZD,Inductor_SMD:L_0603_1608Metric,
R1,1,RC0201FR-07100KL,Resistor_SMD:R_0201_0603Metric,
"R2,R3",2,,Resistor_SMD:R_0402_1005Metric,DNP
U1,1,ST25R300-AQET,Package_DFN_QFN:UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,
Y1,1,NX2016SA-27.12MHZ-EXS00A-CS06346,Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm,
