Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",14.000000,14.500000,180.000000,top
"C2","1u","C_0402_1005Metric",14.000000,15.500000,180.000000,top
"C3","12p","C_0201_0603Metric",15.250000,23.000000,180.000000,top
"C4","12p","C_0201_0603Metric",15.250000,19.000000,0.000000,top
"C5","10n","C_0201_0603Metric",19.000000,23.500000,90.000000,top
"C6","10n","C_0201_0603Metric",17.000000,23.500000,90.000000,top
"C7","2.2u","C_0201_0603Metric",19.750000,23.500000,90.000000,top
"C8","2.2u","C_0201_0603Metric",17.750000,23.500000,90.000000,top
"C9","2.2u","C_0201_0603Metric",20.500000,13.750000,180.000000,top
"C10","2.2u","C_0201_0603Metric",22.500000,23.500000,90.000000,top
"C11","2.2u","C_0201_0603Metric",20.750000,23.500000,90.000000,top
"C12","10n","C_0201_0603Metric",20.500000,14.500000,180.000000,top
"C13","10n","C_0201_0603Metric",23.250000,23.500000,90.000000,top
"C14","10n","C_0201_0603Metric",21.500000,23.500000,90.000000,top
"C15","150p","C_0201_0603Metric",26.375000,16.625000,0.000000,top
"C16","510p","C_0402_1005Metric",27.500000,19.000000,90.000000,top
"C17","510p","C_0402_1005Metric",27.500000,21.000000,90.000000,top
"C18","150p","C_0201_0603Metric",26.375000,23.375000,180.000000,top
"C19","2.2u","C_0201_0603Metric",24.000000,16.750000,180.000000,top
"C20","10n","C_0201_0603Metric",24.000000,17.500000,180.000000,top
"C21","~","C_0402_1005Metric",28.000000,17.500000,0.000000,top
"C22","~","C_0402_1005Metric",28.000000,22.500000,0.000000,top
"C23","100n","C_0201_0603Metric",19.000000,14.500000,0.000000,top
"C24","100p","C_0402_1005Metric",28.375000,19.000000,90.000000,top
"C25","100p","C_0402_1005Metric",28.375000,21.000000,90.000000,top
"C26","10p","C_0201_0603Metric",29.375000,17.250000,-90.000000,top
"C27","150p","C_0201_0603Metric",30.125000,17.250000,90.000000,top
"C28","150p","C_0201_0603Metric",30.125000,22.750000,90.000000,top
"C29","10p","C_0201_0603Metric",29.375000,22.750000,-90.000000,top
"C30","62p","C_0402_1005Metric",28.000000,16.500000,0.000000,top
"C31","62p","C_0402_1005Metric",28.000000,23.500000,0.000000,top
"C32","62p","C_0402_1005Metric",29.375000,19.000000,90.000000,top
"C33","62p","C_0402_1005Metric",29.375000,21.000000,90.000000,top
"FB1","80ohm/100M","L_0603_1608Metric",14.000000,16.750000,0.000000,top
"J1","Conn_01x09","Molex_PicoBlade_53261-0971_1x09-1MP_P1.25mm_Horizontal",8.000000,20.000000,-90.000000,top
"L1","120n","L_0603_1608Metric",25.750000,18.500000,-45.000000,top
"L2","120n","L_0603_1608Metric",25.750000,21.500000,45.000000,top
"R1","100k","R_0201_0603Metric",14.500000,18.250000,180.000000,top
"R2","1.6","R_0603_1608Metric",31.125000,18.500000,0.000000,top
"R3","1.6","R_0603_1608Metric",31.125000,21.500000,0.000000,top
"U1","ST25R300","UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm",20.000000,18.750000,90.000000,top
"Y1","27.12MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",15.000000,21.000000,90.000000,top
